Gauge 2 Location: X=1200.0, Y=150.0
Time(s) Depth(m) Elevation(m)
0.000 0.000 0.013
10.000 0.000 0.013
20.000 0.000 0.013
30.000 0.000 0.013
40.000 0.000 0.013
50.000 0.000 0.013
60.000 0.000 0.013
70.000 0.000 0.013
80.000 0.000 0.013
90.000 0.000 0.013
100.000 0.000 0.013
110.000 0.000 0.013
120.000 0.000 0.013
130.000 0.000 0.013
140.000 0.000 0.013
150.000 0.000 0.013
160.000 0.000 0.013
170.000 0.000 0.013
180.000 0.000 0.013
190.000 0.000 0.013
200.000 0.000 0.013
210.000 0.000 0.013
220.000 0.000 0.013
230.000 0.000 0.013
240.000 0.000 0.013
250.000 0.000 0.013
260.000 0.000 0.013
270.000 0.000 0.013
280.000 0.000 0.013
290.000 0.000 0.013
300.000 0.000 0.013
310.000 0.000 0.013
320.000 0.000 0.013
330.000 0.000 0.013
340.000 0.000 0.013
350.000 0.000 0.013
360.000 0.000 0.013
370.000 0.000 0.013
380.000 0.000 0.013
390.000 0.000 0.013
400.000 0.000 0.013
410.000 0.000 0.013
420.000 0.000 0.013
430.000 0.000 0.013
440.000 0.000 0.013
450.000 0.000 0.013
460.000 0.000 0.013
470.000 0.000 0.013
480.000 0.000 0.013
490.000 0.000 0.013
500.000 0.000 0.013
510.000 0.000 0.013
520.000 0.000 0.013
530.000 0.000 0.013
540.000 0.000 0.013
550.000 0.000 0.013
560.000 0.000 0.013
570.000 0.000 0.013
580.000 0.000 0.013
590.000 0.000 0.013
600.000 0.000 0.013
610.000 0.000 0.013
620.000 0.000 0.013
630.000 0.000 0.013
640.000 0.000 0.013
650.000 0.000 0.013
660.000 0.000 0.013
670.000 0.000 0.013
680.000 0.000 0.013
690.000 0.000 0.013
700.000 0.000 0.013
710.000 0.000 0.013
720.000 0.000 0.013
730.000 0.000 0.013
740.000 0.000 0.013
750.000 0.000 0.013
760.000 0.000 0.013
770.000 0.000 0.013
780.000 0.000 0.013
790.000 0.000 0.013
800.000 0.000 0.013
810.000 0.000 0.013
820.000 0.000 0.013
830.000 0.000 0.013
840.000 0.000 0.013
850.000 0.000 0.013
860.000 0.000 0.013
870.000 0.000 0.013
880.000 0.000 0.013
890.000 0.000 0.013
900.000 0.000 0.013
910.000 0.000 0.013
920.000 0.000 0.013
930.000 0.000 0.013
940.000 0.000 0.013
950.000 0.000 0.013
960.000 0.000 0.013
970.000 0.000 0.013
980.000 0.000 0.013
990.000 0.000 0.013
1000.000 0.000 0.013
1010.000 0.000 0.013
1020.000 0.000 0.013
1030.000 0.000 0.013
1040.000 0.000 0.013
1050.000 0.000 0.013
1060.000 0.000 0.013
1070.000 0.000 0.013
1080.000 0.000 0.013
1090.000 0.000 0.013
