Gauge 1 Location: X=300.0, Y=700.0
Time(s) Depth(m) Elevation(m)
0.000 0.000 0.003
10.000 0.000 0.003
20.000 0.000 0.003
30.000 0.000 0.003
40.000 0.000 0.003
50.000 0.000 0.003
60.000 0.000 0.003
70.000 0.000 0.003
80.000 0.000 0.003
90.000 0.000 0.003
100.000 0.000 0.003
110.000 0.000 0.003
120.000 0.000 0.003
130.000 0.000 0.003
140.000 0.000 0.003
150.000 0.000 0.003
160.000 0.000 0.003
170.000 0.000 0.003
180.000 0.000 0.003
190.000 0.000 0.003
200.000 0.000 0.003
210.000 0.000 0.003
220.000 0.000 0.003
230.000 0.000 0.003
240.000 0.000 0.003
250.000 0.000 0.003
260.000 0.000 0.003
270.000 0.000 0.003
280.000 0.000 0.003
290.000 0.000 0.003
300.000 0.000 0.003
310.000 0.000 0.003
320.000 0.000 0.003
330.000 0.000 0.003
340.000 0.000 0.003
350.000 0.000 0.003
360.000 0.000 0.003
370.000 0.000 0.003
380.000 0.000 0.003
390.000 0.000 0.003
400.000 0.000 0.003
410.000 0.000 0.003
420.000 0.000 0.003
430.000 0.000 0.003
440.000 0.000 0.003
450.000 0.000 0.003
460.000 0.000 0.003
470.000 0.000 0.003
480.000 0.000 0.003
490.000 0.000 0.003
500.000 0.000 0.003
510.000 0.000 0.003
520.000 0.000 0.003
530.000 0.000 0.003
540.000 0.000 0.003
550.000 0.000 0.003
560.000 0.000 0.003
570.000 0.000 0.003
580.000 0.000 0.003
590.000 0.000 0.003
600.000 0.000 0.003
610.000 0.000 0.003
620.000 0.000 0.003
630.000 0.000 0.003
640.000 0.000 0.003
650.000 0.000 0.003
660.000 0.000 0.003
670.000 0.000 0.003
680.000 0.000 0.003
690.000 0.000 0.003
700.000 0.000 0.003
710.000 0.000 0.003
720.000 0.000 0.003
730.000 0.000 0.003
740.000 0.000 0.003
750.000 0.000 0.003
760.000 0.000 0.003
770.000 0.000 0.003
780.000 0.000 0.003
790.000 0.000 0.003
800.000 0.000 0.003
810.000 0.000 0.003
820.000 0.000 0.003
830.000 0.000 0.003
840.000 0.000 0.003
850.000 0.000 0.003
860.000 0.000 0.003
870.000 0.000 0.003
880.000 0.000 0.003
890.000 0.000 0.003
900.000 0.000 0.003
910.000 0.000 0.003
920.000 0.000 0.003
930.000 0.000 0.003
940.000 0.000 0.003
950.000 0.000 0.003
960.000 0.000 0.003
970.000 0.000 0.003
980.000 0.000 0.003
990.000 0.000 0.003
1000.000 0.000 0.003
1010.000 0.000 0.003
1020.000 0.000 0.003
1030.000 0.000 0.003
1040.000 0.000 0.003
1050.000 0.000 0.003
1060.000 0.000 0.003
1070.000 0.000 0.003
1080.000 0.000 0.003
1090.000 0.000 0.003
1100.000 0.000 0.003
1110.000 0.000 0.003
1120.000 0.000 0.003
1130.000 0.000 0.003
1140.000 0.000 0.003
1150.000 0.000 0.003
1160.000 0.000 0.003
1170.000 0.000 0.003
1180.000 0.000 0.003
1190.000 0.000 0.003
1200.000 0.000 0.003
1210.000 0.000 0.003
1220.000 0.000 0.003
1230.000 0.000 0.003
1240.000 0.000 0.003
1250.000 0.000 0.003
1260.000 0.000 0.003
1270.000 0.000 0.003
1280.000 0.000 0.003
1290.000 0.000 0.003
1300.000 0.000 0.003
1310.000 0.000 0.003
1320.000 0.000 0.003
1330.000 0.000 0.003
1340.000 0.000 0.003
1350.000 0.000 0.003
1360.000 0.000 0.003
1370.000 0.000 0.003
1380.000 0.000 0.003
1390.000 0.000 0.003
1400.000 0.000 0.003
1410.000 0.000 0.003
1420.000 0.000 0.003
1430.000 0.000 0.003
1440.000 0.000 0.003
1450.000 0.000 0.003
1460.000 0.000 0.003
